id,chatbot_id,user_id,joined_at,last_active,message_count
30,6,31,2026-03-24 10:57:21.535083,2026-03-24 10:57:21.535083,0
31,6,32,2026-03-24 10:57:22.169551,2026-03-24 10:57:22.169551,0
32,6,33,2026-03-24 10:57:22.489988,2026-03-24 10:57:22.489988,0
33,6,34,2026-03-24 10:57:22.812581,2026-03-24 10:57:22.812581,0
34,6,35,2026-03-24 10:57:22.830085,2026-03-24 10:57:22.830085,0
26,6,24,2026-03-09 09:32:07.816486,2026-03-25 11:25:02.837846,4
25,6,23,2026-03-08 10:30:02.755663,2026-03-29 11:32:07.582265,35
29,6,26,2026-03-23 08:20:21.919977,2026-03-30 15:08:55.803389,2
35,6,46,2026-03-28 05:22:53.650870,2026-03-30 15:11:45.235793,1
